EmployeeID,Gender,Age,Dept,JobTitle,Tenure,YearsInCurrentRole,YearsSinceLastPromotion,Education,Location,Country,Salary,LastRating,ManagerID,Attrition,PerformanceText,CompaRatio,HireSource,HireDate,InterviewScore,InterviewScore_Technical,InterviewScore_Cultural,InterviewScore_Curiosity,AssessmentScore,PriorExperienceYears,JobLevel,PromotionCount,LastPromotionDate,ManagerChangeCount,Age_Group,InterviewScore_Communication,InterviewScore_Leadership,eNPS_Score,Pulse_Score,ManagerSatisfaction,WorkLifeBalance,CareerGrowthSatisfaction,Onboarding_30d,Onboarding_60d,Onboarding_90d
EMP0001,Male,26,Sales,Sales Rep,2.64,2.64,0.0,Bachelor,Tokyo,Japan,85858,4.8,MGR002,1,Exceptional performer who consistently exceeds expectations. Demonstrates strong leadership and technical skills. Highly collaborative team player. Strong in closing deals.,1.07,Website,2023-05-27,5.0,2.1,3.6,3.2,42.8,1.4,1,0,,3,20-29,3.1,3.4,2,2.5,4.9,3.9,2.9,,,
EMP0002,Female,32,Finance,Finance Manager,4.94,3.6,0.4,Master,Sydney,Australia,124578,4.1,MGR008,0,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in forecasting.,0.98,Referral,2021-02-06,3.5,4.3,4.8,4.7,75.9,5.1,3,1,2025-08-21,3,30-39,2.1,3.0,1,3.2,3.3,1.1,4.9,,,
EMP0003,Male,28,Customer Success,CS Specialist,2.47,1.58,0.0,Master,São Paulo,Brazil,55067,4.0,MGR005,0,Meets expectations with occasional exceeding. Shows good collaboration with team. Technical skills are developing well. Strong in onboarding.,0.98,JobBoard,2023-07-28,3.5,4.0,4.0,3.8,56.5,3.5,2,0,,2,20-29,3.4,2.4,2,4.0,3.2,4.7,4.1,,,
EMP0004,Male,30,Sales,Account Executive,4.17,0.79,0.5,PhD,São Paulo,Brazil,60702,5.0,MGR037,0,Top talent. Delivers high-quality work ahead of schedule. Inspires others with their dedication and expertise. Strong in negotiation.,1.08,Referral,2021-11-14,4.5,4.4,3.9,4.6,88.2,3.8,2,1,2025-07-16,3,30-39,3.2,4.6,9,1.5,2.4,2.0,4.6,,,
EMP0005,Male,37,Engineering,Senior Engineer,5.52,0.37,2.4,Bachelor,São Paulo,Brazil,66385,3.2,MGR015,0,Performance needs improvement in several areas. Technical skills require development. Recommended for coaching and training. Strong in system design. Adapting well to new role.,0.98,Referral,2020-07-10,3.1,4.1,2.4,5.0,56.0,9.5,3,1,2023-08-22,1,30-39,3.5,2.2,4,2.4,3.5,1.7,3.7,,,
EMP0006,Male,52,Sales,Account Executive,5.96,0.14,0.3,Bachelor,Vancouver,Canada,106698,3.4,MGR022,0,Performance gap identified in multiple areas. Needs to improve engagement and initiative. Technical training recommended. Strong in client relations. Adapting well to new role.,0.95,Website,2020-01-31,4.1,2.0,3.5,2.7,78.7,24.0,2,1,2025-09-27,3,50-59,4.8,3.2,6,4.7,1.6,3.1,2.4,,,
EMP0007,Female,32,Engineering,Staff Engineer,7.61,3.21,0.8,Bachelor,Sydney,Australia,150392,2.2,MGR012,1,Performance gap identified in multiple areas. Needs to improve engagement and initiative. Technical training recommended. Strong in cloud architecture. Adapting well to new role.,1.01,LinkedIn,2018-06-08,2.3,3.9,2.3,2.5,93.9,2.4,4,3,2025-03-28,3,30-39,3.7,3.1,8,3.7,1.0,3.2,1.6,,,
EMP0008,Female,25,Sales,Account Executive,4.81,1.17,0.9,Bachelor,Berlin,Germany,90476,4.1,MGR017,0,Consistent contributor who meets job requirements. Technical skills are adequate. Shows potential for development. Strong in client relations. Valuable institutional knowledge.,0.97,Agency,2021-03-26,4.7,4.4,3.5,3.7,69.6,0.0,2,1,2025-02-20,4,20-29,2.7,3.5,3,1.1,3.6,2.2,1.7,,,
EMP0009,Female,37,HR,HR Specialist,4.51,0.47,0.4,Bachelor,Paris,France,88423,3.8,MGR021,1,Reliable employee with satisfactory performance. Good attention to detail. Positive attitude toward learning. Strong in employee relations. Adapting well to new role.,1.01,Referral,2021-07-13,3.8,3.8,5.0,2.4,71.1,10.5,2,1,2025-08-21,1,30-39,3.0,4.5,8,3.8,2.4,1.8,2.2,,,
EMP0010,Male,40,Marketing,Marketing Coordinator,0.1,0.1,0.0,Master,Singapore,Singapore,92302,3.1,MGR015,0,Below expectations in key areas. Communication could be more effective. Close monitoring advised. Strong in content strategy. Valuable institutional knowledge.,1.03,Internal,2025-12-09,3.0,3.8,2.1,2.1,89.4,17.9,1,0,,2,40-49,2.4,3.6,4,2.1,4.9,2.5,2.8,4.7,,
