EmployeeID,Score,Department,Tenure,SurveyDate
EMP1000,0,Operations,6.8,2024-01-15
EMP1001,5,Engineering,9.6,2024-01-15
EMP1002,1,Sales,8.4,2024-01-15
EMP1003,9,HR,6.9,2024-01-15
EMP1004,1,Customer Success,6.2,2024-01-15
EMP1005,7,Operations,5.7,2024-01-15
EMP1006,10,Marketing,8.0,2024-01-15
EMP1007,3,Sales,6.0,2024-01-15
EMP1008,4,Marketing,6.5,2024-01-15
EMP1009,9,Product,6.6,2024-01-15
EMP1010,1,Marketing,0.6,2024-01-15
EMP1011,8,Sales,4.1,2024-01-15
EMP1012,8,Engineering,5.7,2024-01-15
EMP1013,8,HR,8.8,2024-01-15
EMP1014,5,Product,9.3,2024-01-15
EMP1015,2,Product,9.0,2024-01-15
EMP1016,8,Operations,4.4,2024-01-15
EMP1017,10,Sales,1.3,2024-01-15
EMP1018,5,Operations,0.2,2024-01-15
EMP1019,0,Finance,6.1,2024-01-15
EMP1020,4,HR,3.9,2024-01-15
EMP1021,8,Sales,2.5,2024-01-15
EMP1022,0,HR,2.3,2024-01-15
EMP1023,9,HR,6.1,2024-01-15
EMP1024,9,Customer Success,4.7,2024-01-15
EMP1025,2,Engineering,8.6,2024-01-15
EMP1026,1,Product,9.2,2024-01-15
EMP1027,9,Sales,3.9,2024-01-15
EMP1028,1,Marketing,5.8,2024-01-15
EMP1029,3,Operations,4.0,2024-01-15
EMP1030,6,Product,7.5,2024-01-15
EMP1031,10,HR,0.3,2024-01-15
EMP1032,6,HR,0.2,2024-01-15
EMP1033,4,Finance,9.6,2024-01-15
EMP1034,3,HR,3.9,2024-01-15
EMP1035,3,Engineering,4.8,2024-01-15
EMP1036,2,Customer Success,1.7,2024-01-15
EMP1037,3,Marketing,5.3,2024-01-15
EMP1038,10,Engineering,8.0,2024-01-15
EMP1039,2,Marketing,3.2,2024-01-15
EMP1040,3,Product,7.2,2024-01-15
EMP1041,0,Engineering,4.2,2024-01-15
EMP1042,8,Product,1.9,2024-01-15
EMP1043,9,Operations,5.3,2024-01-15
EMP1044,6,Operations,1.2,2024-01-15
EMP1045,9,Engineering,2.6,2024-01-15
EMP1046,3,Finance,4.9,2024-01-15
EMP1047,6,Product,5.5,2024-01-15
EMP1048,7,Engineering,6.4,2024-01-15
EMP1049,10,Engineering,6.1,2024-01-15
EMP1050,5,Engineering,8.9,2024-01-15
EMP1051,8,Customer Success,2.2,2024-01-15
EMP1052,9,Marketing,4.2,2024-01-15
EMP1053,9,Marketing,7.7,2024-01-15
EMP1054,0,Customer Success,2.6,2024-01-15
EMP1055,3,Customer Success,7.3,2024-01-15
EMP1056,3,Finance,6.7,2024-01-15
EMP1057,8,Customer Success,7.7,2024-01-15
EMP1058,9,Sales,4.3,2024-01-15
EMP1059,4,Operations,2.4,2024-01-15
EMP1060,1,Sales,2.2,2024-01-15
EMP1061,0,Product,0.3,2024-01-15
EMP1062,2,Finance,2.1,2024-01-15
EMP1063,10,Customer Success,2.6,2024-01-15
EMP1064,8,Product,1.5,2024-01-15
EMP1065,2,Operations,7.0,2024-01-15
EMP1066,2,Customer Success,4.3,2024-01-15
EMP1067,6,Sales,7.0,2024-01-15
EMP1068,6,Marketing,1.4,2024-01-15
EMP1069,2,Finance,7.3,2024-01-15
EMP1070,9,Marketing,2.8,2024-01-15
EMP1071,3,Marketing,6.5,2024-01-15
EMP1072,3,HR,4.1,2024-01-15
EMP1073,0,HR,3.5,2024-01-15
EMP1074,6,Finance,4.5,2024-01-15
EMP1075,1,Finance,8.0,2024-01-15
EMP1076,10,Marketing,5.4,2024-01-15
EMP1077,5,Marketing,6.5,2024-01-15
EMP1078,5,Finance,3.3,2024-01-15
EMP1079,2,Product,6.7,2024-01-15
EMP1080,6,Finance,6.7,2024-01-15
EMP1081,0,HR,7.3,2024-01-15
EMP1082,3,Marketing,5.8,2024-01-15
EMP1083,9,Finance,9.6,2024-01-15
EMP1084,8,Operations,5.4,2024-01-15
EMP1085,8,Operations,7.6,2024-01-15
EMP1086,0,Marketing,6.7,2024-01-15
EMP1087,3,HR,9.3,2024-01-15
EMP1088,6,Finance,9.7,2024-01-15
EMP1089,5,Engineering,7.4,2024-01-15
EMP1090,7,Finance,2.5,2024-01-15
EMP1091,4,Finance,6.3,2024-01-15
EMP1092,1,Marketing,7.6,2024-01-15
EMP1093,0,Engineering,8.3,2024-01-15
EMP1094,5,Finance,7.1,2024-01-15
EMP1095,3,Sales,2.4,2024-01-15
EMP1096,1,Sales,1.0,2024-01-15
EMP1097,10,Sales,5.6,2024-01-15
EMP1098,10,HR,4.0,2024-01-15
EMP1099,6,Customer Success,6.0,2024-01-15
