EmployeeID,Prep_Score,FirstWeek_Score,Manager_Support,Culture_Fit,Overall_Satisfaction,Comments,HireDate
EMP2000,4.0,4.8,4.0,5.0,4.5,Smooth process,2023-11-01
EMP2001,4.7,3.4,4.9,3.2,4.1,Smooth process,2023-11-01
EMP2002,4.6,3.8,4.8,4.7,4.5,Smooth process,2023-11-01
EMP2003,4.6,4.6,3.6,3.2,4.0,Needs improvement,2023-11-01
EMP2004,3.8,3.3,4.4,3.7,3.8,Needs improvement,2023-11-01
EMP2005,5.0,4.3,4.6,3.3,4.3,Smooth process,2023-11-01
EMP2006,4.7,4.8,4.0,4.2,4.4,Smooth process,2023-11-01
EMP2007,4.5,3.3,4.0,3.8,3.9,Needs improvement,2023-11-01
EMP2008,3.3,3.7,3.1,3.1,3.3,Needs improvement,2023-11-01
EMP2009,3.3,4.9,4.1,4.9,4.3,Smooth process,2023-11-01
EMP2010,3.9,3.6,4.0,3.9,3.8,Needs improvement,2023-11-01
EMP2011,3.2,4.3,3.4,4.2,3.8,Needs improvement,2023-11-01
EMP2012,4.3,3.3,3.1,4.6,3.8,Needs improvement,2023-11-01
EMP2013,3.9,3.1,5.0,3.1,3.8,Needs improvement,2023-11-01
EMP2014,4.4,5.0,3.5,3.3,4.0,Smooth process,2023-11-01
EMP2015,3.2,3.6,3.2,4.4,3.6,Needs improvement,2023-11-01
EMP2016,3.1,4.0,5.0,4.6,4.2,Smooth process,2023-11-01
EMP2017,4.2,3.6,4.2,4.1,4.0,Smooth process,2023-11-01
EMP2018,3.9,3.3,4.8,3.9,3.9,Needs improvement,2023-11-01
EMP2019,3.4,3.7,3.8,4.7,3.9,Needs improvement,2023-11-01
EMP2020,4.5,4.5,3.0,3.8,4.0,Needs improvement,2023-11-01
EMP2021,4.0,3.0,3.5,4.5,3.8,Needs improvement,2023-11-01
EMP2022,3.3,4.1,3.4,3.0,3.4,Needs improvement,2023-11-01
EMP2023,3.5,5.0,4.6,4.9,4.5,Smooth process,2023-11-01
EMP2024,4.0,3.2,4.1,3.9,3.8,Needs improvement,2023-11-01
EMP2025,4.7,3.2,4.0,3.3,3.8,Needs improvement,2023-11-01
EMP2026,3.6,4.5,4.0,3.8,4.0,Needs improvement,2023-11-01
EMP2027,3.8,3.9,4.6,4.8,4.3,Smooth process,2023-11-01
EMP2028,4.9,4.6,3.6,4.4,4.4,Smooth process,2023-11-01
EMP2029,3.9,3.5,4.7,3.1,3.8,Needs improvement,2023-11-01
EMP2030,4.8,3.9,4.3,4.3,4.3,Smooth process,2023-11-01
EMP2031,4.8,4.3,4.2,3.1,4.1,Smooth process,2023-11-01
